date,confirmed_cases
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,2.0
2020-03-13,4.0
2020-03-14,7.0
2020-03-15,0.0
2020-03-16,14.0
2020-03-17,19.0
2020-03-18,21.0
2020-03-19,33.0
2020-03-20,20.0
2020-03-21,0.0
2020-03-22,86.0
2020-03-23,62.0
2020-03-24,114.0
2020-03-25,162.0
2020-03-26,61.0
2020-03-27,145.0
2020-03-28,156.0
2020-03-29,337.0
2020-03-30,200.0
2020-03-31,425.0
2020-04-01,116.0
2020-04-02,146.0
2020-04-03,584.0
2020-04-04,108.0
2020-04-05,226.0
2020-04-06,669.0
2020-04-07,417.0
2020-04-08,0.0
2020-04-09,746.0
2020-04-10,298.0
2020-04-11,227.0
2020-04-12,127.0
2020-04-13,470.0
2020-04-14,209.0
2020-04-15,267.0
2020-04-16,336.0
2020-04-17,330.0
2020-04-18,217.0
2020-04-19,71.0
2020-04-20,886.0
2020-04-21,152.0
2020-04-22,1411.0
2020-04-23,125.0
2020-04-24,219.0
2020-04-25,146.0
2020-04-26,156.0
2020-04-27,234.0
2020-04-28,111.0
2020-04-29,111.0
2020-04-30,309.0
2020-05-01,318.0
2020-05-02,189.0
2020-05-03,0.0
2020-05-04,444.0
2020-05-05,115.0
2020-05-06,95.0
2020-05-07,224.0
2020-05-08,200.0
2020-05-09,151.0
2020-05-10,206.0
2020-05-11,76.0
2020-05-12,176.0
2020-05-13,148.0
2020-05-14,200.0
2020-05-15,173.0
2020-05-16,131.0
2020-05-17,108.0
2020-05-18,191.0
2020-05-19,83.0
2020-05-20,197.0
2020-05-21,32.0
2020-05-22,138.0
2020-05-23,100.0
2020-05-24,125.0
2020-05-25,99.0
2020-05-26,142.0
2020-05-27,-41.0
2020-05-28,39.0
2020-05-29,56.0
2020-05-30,93.0
2020-05-31,47.0
2020-06-01,160.0
2020-06-02,67.0
2020-06-03,13.0
2020-06-04,54.0
2020-06-05,71.0
2020-06-06,106.0
2020-06-07,36.0
2020-06-08,36.0
2020-06-09,16.0
2020-06-10,26.0
2020-06-11,21.0
2020-06-12,23.0
2020-06-13,99.0
2020-06-14,29.0
2020-06-15,32.0
2020-06-16,21.0
2020-06-17,22.0
2020-06-18,17.0
2020-06-19,27.0
2020-06-20,44.0
2020-06-21,6.0
2020-06-22,8.0
2020-06-23,39.0
2020-06-24,5.0
2020-06-25,20.0
2020-06-26,17.0
2020-06-27,42.0
2020-06-28,27.0
2020-06-29,31.0
2020-06-30,39.0
2020-07-01,14.0
2020-07-02,16.0
2020-07-03,24.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,66.0
2020-07-07,14.0
2020-07-08,22.0
2020-07-09,27.0
2020-07-10,20.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,48.0
2020-07-14,6.0
2020-07-15,33.0
2020-07-16,34.0
2020-07-17,42.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,43.0
2020-07-21,11.0
2020-07-22,41.0
2020-07-23,20.0
2020-07-24,237.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,38.0
2020-07-28,35.0
2020-07-29,239.0
2020-07-30,53.0
2020-07-31,7.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,77.0
2020-08-04,6.0
2020-08-05,36.0
2020-08-06,14.0
2020-08-07,30.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,79.0
2020-08-11,46.0
2020-08-12,7.0
2020-08-13,38.0
2020-08-14,34.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,157.0
2020-08-18,5.0
2020-08-19,25.0
2020-08-20,54.0
2020-08-21,33.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,171.0
2020-08-25,17.0
2020-08-26,45.0
2020-08-27,54.0
2020-08-28,53.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,129.0
2020-09-01,36.0
2020-09-02,26.0
2020-09-03,30.0
2020-09-04,36.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,104.0
2020-09-09,24.0
2020-09-10,101.0
2020-09-11,100.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,158.0
2020-09-15,40.0
2020-09-16,53.0
2020-09-17,67.0
2020-09-18,38.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,132.0
2020-09-22,43.0
2020-09-23,58.0
2020-09-24,36.0
2020-09-25,30.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,126.0
2020-09-29,49.0
2020-09-30,35.0
2020-10-01,39.0
2020-10-02,136.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,187.0
2020-10-06,0.0
2020-10-07,25.0
2020-10-08,89.0
2020-10-09,51.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,300.0
2020-10-13,52.0
2020-10-14,24.0
2020-10-15,55.0
2020-10-16,185.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,306.0
2020-10-20,80.0
2020-10-21,144.0
2020-10-22,190.0
2020-10-23,234.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,571.0
2020-10-27,197.0
2020-10-28,190.0
2020-10-29,615.0
2020-10-30,260.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,893.0
2020-11-03,317.0
2020-11-04,173.0
2020-11-05,582.0
2020-11-06,315.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,1217.0
2020-11-10,526.0
2020-11-11,553.0
2020-11-12,277.0
2020-11-13,834.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,1370.0
2020-11-17,561.0
2020-11-18,596.0
2020-11-19,698.0
2020-11-20,581.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,1624.0
2020-11-24,222.0
2020-11-25,543.0
2020-11-26,0.0
2020-11-27,1034.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,1234.0
2020-12-01,451.0
2020-12-02,1017.0
2020-12-03,1289.0
2020-12-04,473.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,2305.0
2020-12-08,536.0
2020-12-09,604.0
2020-12-10,529.0
2020-12-11,1106.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,1693.0
2020-12-15,571.0
2020-12-16,543.0
2020-12-17,614.0
2020-12-18,578.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,1103.0
2020-12-22,363.0
2020-12-23,494.0
2020-12-24,527.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,1936.0
2020-12-29,216.0
2020-12-30,392.0
2020-12-31,643.0
2021-01-01,0.0
2021-01-02,1179.0
2021-01-03,0.0
2021-01-04,964.0
2021-01-05,528.0
2021-01-06,606.0
2021-01-07,831.0
2021-01-08,889.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,1788.0
2021-01-12,993.0
2021-01-13,934.0
2021-01-14,226.0
2021-01-15,499.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,1356.0
2021-01-19,536.0
2021-01-20,462.0
2021-01-21,433.0
2021-01-22,553.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,1282.0
2021-01-26,419.0
2021-01-27,650.0
2021-01-28,281.0
2021-01-29,329.0
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,961.0
2021-02-02,664.0
2021-02-03,111.0
2021-02-04,271.0
2021-02-05,371.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,1067.0
2021-02-09,281.0
2021-02-10,258.0
2021-02-11,256.0
2021-02-12,245.0
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,755.0
2021-02-16,191.0
2021-02-17,140.0
2021-02-18,197.0
2021-02-19,387.0
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,622.0
2021-02-23,434.0
2021-02-24,473.0
2021-02-25,301.0
2021-02-26,232.0
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,782.0
2021-03-02,156.0
2021-03-03,131.0
2021-03-04,246.0
2021-03-05,225.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,567.0
2021-03-09,271.0
2021-03-10,151.0
2021-03-11,209.0
2021-03-12,322.0
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,827.0
2021-03-16,271.0
2021-03-17,109.0
2021-03-18,327.0
2021-03-19,388.0
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,909.0
2021-03-23,258.0
2021-03-24,486.0
2021-03-25,488.0
2021-03-26,524.0
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,986.0
2021-03-30,470.0
2021-03-31,252.0
2021-04-01,498.0
2021-04-02,441.0
2021-04-03,0.0
2021-04-04,0.0
2021-04-05,827.0
2021-04-06,258.0
2021-04-07,313.0
2021-04-08,334.0
2021-04-09,684.0
2021-04-10,0.0
2021-04-11,0.0
2021-04-12,1026.0
2021-04-13,362.0
2021-04-14,500.0
2021-04-15,170.0
2021-04-16,361.0
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,711.0
2021-04-20,251.0
2021-04-21,252.0
2021-04-22,211.0
2021-04-23,252.0
2021-04-24,0.0
2021-04-25,0.0
2021-04-26,592.0
2021-04-27,83.0
2021-04-28,129.0
2021-04-29,95.0
2021-04-30,183.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,312.0
2021-05-04,60.0
2021-05-05,148.0
2021-05-06,199.0
2021-05-07,115.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,196.0
2021-05-11,77.0
2021-05-12,37.0
2021-05-13,161.0
2021-05-14,59.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,151.0
2021-05-18,21.0
2021-05-19,36.0
2021-05-20,33.0
2021-05-21,52.0
2021-05-22,0.0
2021-05-23,0.0
2021-05-24,79.0
2021-05-25,36.0
2021-05-26,13.0
2021-05-27,35.0
2021-05-28,44.0
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,53.0
2021-06-02,34.0
2021-06-03,11.0
2021-06-04,62.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,33.0
2021-06-08,12.0
2021-06-09,26.0
2021-06-10,21.0
2021-06-11,10.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,36.0
2021-06-15,15.0
2021-06-16,10.0
2021-06-17,1.0
2021-06-18,14.0
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,24.0
2021-06-22,24.0
2021-06-23,7.0
2021-06-24,20.0
2021-06-25,22.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,62.0
2021-06-29,6.0
2021-06-30,18.0
2021-07-01,13.0
2021-07-02,20.0
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,0.0
2021-07-06,24.0
2021-07-07,30.0
2021-07-08,16.0
2021-07-09,34.0
2021-07-10,0.0
2021-07-11,0.0
2021-07-12,17.0
2021-07-13,59.0
2021-07-14,31.0
2021-07-15,30.0
2021-07-16,26.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,103.0
2021-07-20,37.0
2021-07-21,68.0
2021-07-22,62.0
2021-07-23,33.0
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,137.0
2021-07-27,160.0
2021-07-28,91.0
2021-07-29,68.0
2021-07-30,120.0
2021-07-31,0.0
2021-08-01,0.0
2021-08-02,280.0
2021-08-03,161.0
2021-08-04,129.0
2021-08-05,165.0
2021-08-06,164.0
2021-08-07,0.0
2021-08-08,0.0
2021-08-09,279.0
2021-08-10,78.0
2021-08-11,203.0
2021-08-12,172.0
2021-08-13,136.0
2021-08-14,0.0
2021-08-15,0.0
2021-08-16,387.0
2021-08-17,242.0
2021-08-18,161.0
2021-08-19,107.0
2021-08-20,121.0
2021-08-21,0.0
2021-08-22,0.0
2021-08-23,357.0
2021-08-24,274.0
2021-08-25,168.0
2021-08-26,214.0
2021-08-27,164.0
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,303.0
2021-08-31,213.0
2021-09-01,127.0
2021-09-02,158.0
2021-09-03,129.0
2021-09-04,0.0
2021-09-05,0.0
2021-09-06,0.0
2021-09-07,337.0
2021-09-08,189.0
2021-09-09,160.0
2021-09-10,131.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,279.0
2021-09-14,157.0
2021-09-15,89.0
2021-09-16,392.0
2021-09-17,683.0
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,266.0
2021-09-21,76.0
2021-09-22,102.0
2021-09-23,141.0
2021-09-24,86.0
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,324.0
2021-09-28,106.0
2021-09-29,130.0
2021-09-30,54.0
2021-10-01,169.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,185.0
2021-10-05,92.0
2021-10-06,74.0
2021-10-07,92.0
2021-10-08,100.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,332.0
2021-10-13,53.0
2021-10-14,159.0
2021-10-15,70.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,197.0
2021-10-19,130.0
2021-10-20,46.0
2021-10-21,73.0
2021-10-22,88.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,134.0
2021-10-26,62.0
2021-10-27,42.0
2021-10-28,107.0
2021-10-29,82.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,132.0
2021-11-02,75.0
2021-11-03,69.0
2021-11-04,69.0
2021-11-05,51.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,109.0
2021-11-09,44.0
2021-11-10,97.0
2021-11-11,115.0
2021-11-12,78.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,454.0
2021-11-16,124.0
2021-11-17,156.0
2021-11-18,152.0
2021-11-19,173.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,361.0
2021-11-23,156.0
2021-11-24,157.0
2021-11-25,0.0
2021-11-26,434.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,449.0
2021-11-30,201.0
2021-12-01,152.0
2021-12-02,368.0
2021-12-03,224.0
2021-12-04,0.0
2021-12-05,0.0
